sale_id,date_id,product_id,customer_id,store_id,quantity,unit_price,total_amount,discount_amount,net_amount,payment_method,transaction_time
T075722,20230124,P0019,C3074,S013,2,631.75,1263.5,218.61359794054025,1044.8864020594597,Cash,2023-01-24 19:35:00
T080185,20230628,P0447,C3020,S022,4,316.4,1265.6,39.910810747343454,1225.6891892526564,Mobile Payment,2023-06-28 17:22:00
T019865,20230430,P0780,C4519,S010,2,623.58,1247.16,97.46305934261736,1149.6969406573828,Mobile Payment,2023-04-30 13:31:00
T076700,20230429,P0654,C3918,S034,3,404.26,1212.78,149.43334158001645,1063.3466584199834,Mobile Payment,2023-04-29 08:08:00
T092992,20231217,P0686,C1143,S038,5,926.76,4633.8,1217.969986334978,3415.8300136650223,Credit Card,2023-12-17 16:07:00
T076435,20231031,P0562,C2145,S013,3,446.03,1338.09,206.51565548194367,1131.5743445180565,Mobile Payment,2023-10-31 12:34:00
T084005,20231019,P0738,C3044,S041,2,318.43,636.86,111.35796456129216,525.5020354387078,Credit Card,2023-10-19 18:41:00
T080918,20230801,P0027,C0662,S023,1,320.08,320.08,34.56119222007762,285.5188077799224,Cash,2023-08-01 13:28:00
T060768,20230425,P0910,C1966,S002,5,603.01,3015.05,323.2608300221949,2691.789169977805,Credit Card,2023-04-25 19:44:00
T050075,20231003,P0795,C1356,S004,5,889.02,4445.1,280.9393095904,4164.160690409601,Mobile Payment,2023-10-03 11:06:00
T027702,20231123,P0471,C2284,S032,1,484.3,484.3,50.51691296323528,433.7830870367648,Cash,2023-11-23 17:25:00
T042142,20230913,P0032,C2207,S025,1,759.01,759.01,47.72507519724007,711.28492480276,Mobile Payment,2023-09-13 10:14:00
T045081,20231130,P0356,C4208,S039,5,815.74,4078.7,187.06911797893747,3891.6308820210634,Credit Card,2023-11-30 10:22:00
T016639,20230319,P0039,C3431,S009,5,280.49,1402.45,333.6868761699131,1068.763123830087,Credit Card,2023-03-19 18:03:00
T020425,20231107,P0881,C1121,S049,5,279.1,1395.5,213.97748988685672,1181.5225101131432,Cash,2023-11-07 11:38:00
T088703,20230910,P0026,C3808,S009,2,311.43,622.86,101.79946502198004,521.06053497802,Mobile Payment,2023-09-10 19:27:00
T000150,20231211,P0703,C3153,S029,5,149.44,747.2,82.66577936870692,664.5342206312931,Credit Card,2023-12-11 10:16:00
T001762,20230103,P0523,C4435,S025,4,73.43,293.72,48.400977419934726,245.3190225800653,Cash,2023-01-03 09:01:00
T063121,20231101,P0063,C3639,S003,2,465.65,931.3,219.8266441176096,711.4733558823904,Mobile Payment,2023-11-01 20:24:00
T069162,20231223,P0544,C1800,S025,5,577.13,2885.65,349.20344464720887,2536.446555352791,Mobile Payment,2023-12-23 08:21:00
T064884,20230623,P0756,C1792,S041,1,148.37,148.37,13.857360549365874,134.51263945063414,Credit Card,2023-06-23 19:06:00
T002496,20231223,P0197,C0675,S004,5,903.79,4518.95,603.4120654528066,3915.537934547193,Cash,2023-12-23 16:32:00
T080297,20230513,P0279,C1075,S033,4,52.46,209.84,23.29811546423157,186.5418845357684,Debit Card,2023-05-13 10:29:00
T019448,20230223,P0944,C2446,S042,5,815.97,4079.85,483.8066288379201,3596.0433711620803,Debit Card,2023-02-23 11:50:00
T041332,20230409,P0128,C4175,S005,5,62.03,310.15,91.56187451432162,218.58812548567835,Cash,2023-04-09 12:56:00
T014889,20230921,P0765,C0008,S028,5,793.05,3965.25,619.2017944064786,3346.0482055935213,Debit Card,2023-09-21 17:38:00
T088637,20230809,P0766,C0090,S040,4,528.59,2114.36,220.0673743698659,1894.2926256301344,Mobile Payment,2023-08-09 14:14:00
T094893,20230526,P0885,C1819,S034,2,506.45,1012.9,78.82148970725291,934.0785102927472,Cash,2023-05-26 08:06:00
T092732,20230210,P0523,C4688,S035,2,73.43,146.86,39.23349001103912,107.62650998896088,Cash,2023-02-10 11:10:00
T029131,20230423,P0666,C4285,S007,3,469.38,1408.14,301.73079346914875,1106.4092065308512,Credit Card,2023-04-23 08:54:00
T079023,20231213,P0162,C3110,S049,5,964.87,4824.35,724.9480932655651,4099.401906734435,Mobile Payment,2023-12-13 16:22:00
T084937,20230122,P0721,C1303,S038,1,463.9,463.9,84.2724598624655,379.6275401375345,Mobile Payment,2023-01-22 09:27:00
T016822,20230721,P0770,C0595,S015,4,579.11,2316.44,482.5008564020855,1833.9391435979144,Cash,2023-07-21 08:03:00
T036734,20231221,P0196,C2178,S028,1,549.28,549.28,114.89057544109772,434.3894245589023,Mobile Payment,2023-12-21 08:59:00
T015603,20230718,P0119,C4885,S005,5,222.94,1114.7,293.0483057609764,821.6516942390236,Cash,2023-07-18 12:18:00
T028534,20231012,P0051,C4563,S020,5,82.93,414.65,91.21626584794116,323.43373415205883,Credit Card,2023-10-12 18:05:00
T069770,20231031,P0314,C3076,S039,5,201.65,1008.25,133.65542419790157,874.5945758020985,Cash,2023-10-31 13:29:00
T011406,20230615,P0718,C3222,S020,5,505.39,2526.95,339.9923303952307,2186.9576696047693,Debit Card,2023-06-15 18:00:00
